ABZ	EU	
AMS	EU	
ARN	EU	
ATH	EU	
ATL	NA	
BCN	EU	
BHD	EU	
BHX	EU	
BIO	EU	
BLQ	EU	
BOS	NA	
BRU	EU	
BSL	EU	
BUD	EU	
BZG	EU	
CDG	EU	
CLE	NA	
CLT	NA	
CPH	EU	
CVG	NA	
DCA	NA	
DEN	NA	
DFW	NA	
DTW	NA	
DUB	EU	
DUS	EU	
EDI	EU	
EWR	NA	
FCO	EU	
FLL	NA	
FRA	EU	
GDN	EU	
GLA	EU	
GRZ	EU	
GVA	EU	
HAJ	EU	
HAM	EU	
HEL	EU	
IAD	NA	
IAH	NA	
IEG	EU	
IND	NA	
INN	EU	
INV	EU	
IST	EU	
JFK	NA	
KBP	EU	
KGD	EU	
KLU	EU	
KRK	EU	
KTW	EU	
LAS	NA	
LAX	NA	
LCA	EU	
LCJ	EU	
LED	EU	
LHR	EU	
LIS	EU	
LJU	EU	
LNZ	EU	
LWO	EU	
LYS	EU	
MAD	EU	
MAN	EU	
MCO	NA	
MLA	EU	
MRS	EU	
MSP	NA	
MSQ	EU	
MUC	EU	
MXP	EU	
NCE	EU	
ODS	EU	
ORD	NA	
OSL	EU	
OSZ	EU	
OTP	EU	
PDX	NA	
PEK	AS	
PHL	NA	
PHX	NA	
PIT	NA	
POZ	EU	
PRG	EU	
QJY	EU	
RIX	EU	
RZE	EU	
SAN	NA	
SEA	NA	
SFO	NA	
SIN	AS	
SLC	NA	
SOF	EU	
STL	NA	
STR	EU	
SVO	EU	
SZG	EU	
SZZ	EU	
TLL	EU	
TLS	EU	
TLV	AS	
TPA	NA	
TRN	EU	
TXL	EU	
VCE	EU	
VIE	EU	
VNO	EU	
WAW	EU	
WRO	EU	
YEG	NA	
YOW	NA	
YUL	NA	
YVR	NA	
YWG	NA	
YYC	NA	
YYZ	NA	
ZRH	EU	
GOT	EU	
BEY	AS	
BTS	EU	

